driverId,name,ssn,location,certified,wage-plan
10,Jacob Lewis,479-37-1267,"9375 Frazier Greens
South Jose, AR 17624",Y,hours
11,Emily Ramirez,257-09-3673,"1356 Holland Route
Barrettstad, MN 64871",N,miles
12,Jacob Payne,153-64-9096,"89644 Alexa Row
West Jessicafurt, NC 64107",Y,hours
13,Stephen Chase,121-50-2900,"0282 Smith Views
Lake Louis, GU 78236",N,miles
14,Jacob Miller,616-34-9827,"1350 Michael Dale
Matthewfurt, MT 23869",Y,hours
15,Richard Luna,589-93-9058,"539 Rivera Grove
West Catherine, NM 08707",N,miles
16,Ashley Brown,647-02-3655,"815 Johnson Turnpike
Debramouth, NC 32841",Y,hours
17,Laura Rodriguez,789-06-9880,"479 Wood Run Suite 409
Howardton, AR 87689",N,miles
18,Daniel Clark,148-46-4491,"43064 Lozano Forks Apt. 271
Lake Jeffrey, MI 03571",N,miles
19,Kimberly Clark,662-20-7583,"0214 Mosley Parkways
Jackmouth, LA 44259",N,hours
20,Christopher Juarez,259-06-7490,"71619 Morgan Trafficway
South Vanessa, MS 87238",Y,hours
21,Michael Smith,293-37-2594,"Unit 5787 Box 4073
DPO AA 46886",Y,hours
22,Phillip Barrera,085-47-8264,"4233 Rodriguez Island
South Jessica, WY 55052",N,miles
23,Oscar Mcknight,554-47-3065,"5643 Charles Fords Suite 681
Lake Stacey, NM 76280",N,miles
24,Donna Vazquez,117-66-6394,"0389 Obrien Track Suite 632
Laurachester, WV 81930",Y,hours
25,Gary Hansen,634-38-5083,"039 Holly Ramp
Lake Erikatown, MD 42592",N,miles
26,James Watson,765-05-7080,"12006 Dawn Lake Apt. 814
Angelatown, AS 18291",N,miles
27,Pamela Smith,165-45-1387,"6693 Lopez Walk
Duranstad, SC 50819",N,hours
28,Zachary Garcia,695-35-3435,"15284 Wood Shoal
Gonzalezburgh, DE 86355",N,hours
29,Patricia David,543-41-5170,"8267 John Gateway
East Richardmouth, LA 43409",Y,hours
30,Kerry Hamilton,205-39-8611,"43326 Ryan Path Apt. 986
Wagnerborough, NE 26509",N,miles
31,Roger Campbell,380-04-1823,"85583 Alexandria Turnpike Suite 185
Hermantown, RI 85733",N,hours
32,Melvin Reese MD,616-23-1909,"34510 Bradley Mountain
Carlamouth, HI 32779",Y,hours
33,Sally Cline,820-96-7027,"975 Kari Estate Apt. 349
South Cindyville, NH 65867",Y,miles
34,Michelle Roy,196-92-9494,"779 Guerrero Square
Ruizport, HI 74177",N,hours
35,Denise West,502-53-6829,"8924 Howard Port Apt. 402
Parksbury, VI 76679",N,miles
36,Christopher Boone,593-28-4581,"8856 Morton Grove Suite 325
Nataliestad, CO 17027",Y,miles
37,Jay Blevins,066-73-2910,"03396 Carter Views
West Teresa, MA 16324",N,hours
38,James Vazquez,822-68-9372,"03556 Turner Ridges
Lake Gina, UT 76482",N,hours
39,Gina Macdonald,517-78-1722,"9910 Nguyen Cove
New Baileyfurt, MP 03828",N,hours
